Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,size,founded,type,industry,sector,revenue
Jr. Data Scientist,Net2Aspire,Remote,"$72,500 /yr (est.)",," Apply Statistical and Machine Learning methods to specific business problems and data.
 Ensure data quality throughout all stages of acquisition and processing, including such areas as data sourcing/collection, ground truth generation, normalization, transformation, cross-lingual alignment/mapping, etc.
 Using tools such as Tableau, Looker and GoogleData Studio to aggregate data from across our software tools to build and develop dashboards for both client-facing and internal purposes across the company that feature relevant KPIs and metrics
 Create data dashboards and other data visualization tools to track progress to inform continuous quality improvement of the Congregate Settings Investigation and Response Unit.",,,,,,
Data Engineer,WALTLabs.io,Remote,"$110,000 /yr (est.)",,"WALTLabs.io is looking for an experienced and talented Data Engineer. The data engineer will be responsible for designing and building data pipelines within the GCP Ecosystem. This position will be partly client-facing.
Responsibilities
Build data systems and pipelines
Evaluate business needs and objectives
Prepare data for prescriptive and predictive modeling
Combine raw information from different sources
Daily delivery of work inside JIRA",,,,,,
Data Science Engineer,eTeam Inc.,"Chicago, IL","$91,578 /yr (est.)",4.4,"Primary Responsibilities:
Design machine learning systems to automate predictive models.
Develop Client algorithms to analyze historical data to make predictions.
Run tests, performing statistical analysis, and interpreting test results.
Develop and support data pipelines to extract, transform and load data into Google Data Center data warehouse.
Demonstrate ability and willingness to learn quickly and complete large volumes of work with high quality.",5001 to 10000 Employees,1999,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
Data Engineer,Amazon,Remote,"$275,000 /yr (est.)",3.8,"BASIC QUALIFICATIONS
5+ years of experience as a Data Engineer or in a similar role
Bachelor's degree in Computer Science, Engineering, Mathematics, or a related technical discipline.
4+ years of industry experience in Software Development, Data Engineering, Business Intelligence, Data Science, or related field with a track record of manipulating, processing, and extracting value from large datasets.
PREFERRED QUALIFICATIONS
Masters in computer science, mathematics, statistics, economics, or other quantitative fields.",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
Data Scientist III,GTA (Global Technology Associates),"Englewood, CO","$80,000 /yr (est.)",4.4,"Looking for a Data Scientist III
What you will be doing as a Data Scientist III
Create applications using video analytics algorithms across different verticals
Create demos and PoCs using open-source libraries (GitHub) and hardware like Raspberry PI, Nvidia Jetson.
Collect and feature engineer data to train AI/ML models
Execute test cases and report results.
Debug equipment issues and collect logs.
Write scripts to automate testing and collect data.",Unknown,Company - Private,Unknown / Non-Applicable,,,
Data Mentor (Part-time),Pathrise,Remote,$45.00 /hr (est.),4.6,"What is Pathrise?
Pathrise (YC W18) connects job seekers across North America to world class industry mentorship and career coaching to help them land a new career. The program is free upfront and our customers pay us back when they’re hired.

Built around aligned incentives, we help build equity in the job search process by providing 1-on-1 mentorship, training, and a platform to uplift job seekers and ultimately, help them fulfill their hopes, ambitions, and livelihoods. We’ve already helped more than a thousand fellows land meaningful jobs, and helped them earn over $100M in salary.

Last year, we raised our Series A and there is even more exciting growth on the horizon. In 2022, we have already expanded from 6 to 14 industries, launched a tiered pricing system with differentiated product offerings, and much more.",51 to 200 Employees,2017,Company - Private,Education & Training Services,Education,$1 to $5 million (USD)
Junior Data Scientist,Acima,"Draper, UT","$80,000 /yr (est.)",3.7,"ACIMA
Acima Credit is a young and dynamic leasing company that provides consumers financing options for life necessities that otherwise would not be available to them. We help with financing options from tires/wheels to furniture and appliances. Acima blends the use of innovative online technology with a fast and easy application process for thousands of retailers nationwide. Customers love us because we make the impossible possible. Retailers love us because we make it easy for them.
Summary:
We are looking for a developing data scientist that is interested in applying their understanding of machine learning techniques and statistics to analyze our many complex datasets. They will be nose deep in interesting payment, behavioral, credit, fraud, and economic datasets, to name a few. The insights gleaned and models trained from the analyses done on these datasets can quickly change the course of the company.",501 to 1000 Employees,2013,Company - Public,Banking & Lending,Financial Services,Unknown / Non-Applicable
Data Science Associate (Remote),pulseData,"New York, NY","$59,922 /yr (est.)",5.0,"pulseData is changing the way healthcare data is utilized within major healthcare sectors. As a series A health-tech startup, we provide the insights necessary for medical staff to understand who has and is at risk of major chronic illnesses. We have rooted ourselves within the Kidney space, and have the capabilities of bringing our approach to many more patient populations given our capabilities.

We recently raised $16.5M in our series A and are growing fast. This means we are onboarding brilliant people and providing endless areas for our employees to grow their careers. We believe in trust and transparency, and enjoy a remote friendly working environment that promotes collaboration and diversity.
The Role:
In your role as a Data Science Associate, you will use machine learning to deliver insightful and actionable intelligence and predictive solutions to our team to improve Healthcare growth in our business. You will gain experience understanding healthcare and developing data driven solutions to improve care delivery, while working closely with other team members of our Data Science and engineering team to deliver value to our business partners. Aside from supporting our data science model creation and data teams, you'll also assist the product team with growth opportunities.",1 to 50 Employees,2015,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
Data Engineer,ManpowerGroup,"Burlington, IA","$90,375 /yr (est.)",4.0,"We are looking for a motivated and dynamic individual to join us as a Data Engineer for our North America Construction Equipment team! This person will hold planning responsibilities for the industry, market share, sales, production and inventory, and will work alongside knowledgeable colleagues to continue making a positive impact in the organization.
Compensation & Benefits: We offer competitive compensation with multiple benefit (medical/dental/vision) options to meet your individual needs. Our industry leading 401k will support you in meeting your retirement objectives. Additional benefits include: paid parental leave, life insurance, volunteer time off and much more!
Responsibilities:
Analyze industry trends and anticipate demand changes, taking vital actions to drive planning activities.",10000+ Employees,1948,Subsidiary or Business Segment,HR Consulting,Human Resources & Staffing,$10+ billion (USD)
Data Scientist,Motivated Leads,Remote,"$240,000 /mo (est.)",,"Data Scientist with Digital Space Experience
We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights.
In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research.
Your goal will be to help our company analyze trends to make better decisions.
Compensation:",,,,,,
Data Analyst,"Iver Solutions, LLC","Seattle, WA",$71.00 /hr (est.),2.3,"IBM/TikTok
Data Analyst
Location: Candidate needs to be in Los Angeles, Mountain View, CA or Seattle, WA location (NO REMOTE)
Duration:
Start Date: ASAP
For this Data Analyst position, looking for Sr resource who can lead the team and MUST have Digital Advertisement experience in social media company.",Unknown,Company - Private,Unknown / Non-Applicable,,,
Epic Data Science Consultant,"Nordic Consulting Partners, Inc.",Remote,$107.50 /hr (est.),4.0,"Who we are
Healthcare organizations are challenged to deliver higher quality care at a lower cost. Our award-winning team provides consulting services focused on strategy, technology, and operations, as well as managed services, that result in a stronger business with better patient outcomes. Ranked as a best place to work by nine publications, Nordic’s culture provides our home office and consultants a supportive environment in healthcare that allows you to make a difference, be happy, and grow your career.
Nordic is seeking a talented Data Scientist Consultant for several consulting/ strategic opportunities! A Nordic consultant is more than just an expert. Our consultants take ownership of their work and the greater success of the organization. You'll need to tackle tough projects to help those organizations succeed.",1001 to 5000 Employees,2010,Company - Private,Health Care Services & Hospitals,Healthcare,$100 to $500 million (USD)
Data Scientist,Openmind Technologies,"Vacaville, CA",$57.50 /hr (est.),,"Duration: 6 months
Job Responsibilities include (but are not limited to):
Responsible for executing data engineering/analysis tasks, and writing reports to support data analysis solutions or model validation
Responsible for coordinating technical meetings and supporting process experts to translate a problem from the process/equipment domain into data engineering or analysis domain
Identifies opportunities for data science to overcome technology challenges
Skills
Some knowledge of statistical process control and data analysis techniques
Have experience working with equipment in the laboratory, pilot plant, or manufacturing settings
General knowledge of the underlying scientific principles applied to the development and manufacture of biopharmaceuticals.
Some understanding of the following software: R and/or Python
Understanding machine learning or experience in first principal modeling is a plus",,,,,,
Data Science Manager,Indeed,"Austin, TX","$201,000 /yr (est.)",4.4,"Your Job
The Hired Signal team plays a key role in fulfilling Indeed’s mission to help people get jobs. We build the centralized data source of hires that occur on Indeed, and we support other teams that use our data to improve Indeed’s products. Teams across the company use “hired signal” to train models, create personalized user experiences, test the impact of product changes (A/B testing), and conduct research.

The role of Data Science at Indeed is to follow the data. We log, analyze, visualize, and model terabytes of job search data. Our Data Scientists build and implement machine learning models to make timely decisions. Each of us is a mixture of a statistician, scientist, machine learning expert, and engineer. We have a passion for building and improving Internet-scale products. We seek to understand human behavior via careful experimentation and analysis, to ""help people get jobs"".

You understand that the best managers serve their teams by removing roadblocks and giving individual contributors autonomy and ownership. You have high standards and will take pride in Indeed like we do as well as push us to be better. You have delivered challenging technical solutions at scale. You have led Data Science or engineering teams, and earned the respect of talented practitioners. You are equally happy talking about deep learning and statistical inference, as you are brainstorming about practical experimental design and technology career development. You love being in the mix technically while providing leadership to your teams.

Responsibilities:",10000+ Employees,2004,Company - Private,Internet & Web Services,Information Technology,$2 to $5 billion (USD)
Data Science Analyst,WIVERSE,Remote,"$92,500 /yr (est.)",4.1,"Contract to Hire
100% Remote
Purpose: The Data Science Analyst will support the leasing, development and marketing teams with insights gained from analyzing company data. The candidate must be adept at using large data sets to find opportunities and process optimization and using models to test the effectiveness of different courses of action. To succeed in this position, you must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building, and implementing models, using/creating algorithms, and creating/running simulations. You must have a proven ability to drive business results with your data-based insights.
Job Functions:
1. Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions
2. Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies
3. Assess the effectiveness and accuracy of new data sources and data gathering techniques
4. Develop custom data models and algorithms to apply to data sets
5. Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes
6. Coordinate with different functional teams to implement models and monitor outcomes
7. Develop processes and tools to monitor and analyze model performance and data accuracy
8. Develop company A/B testing framework and test model quality",51 to 200 Employees,2017,Company - Private,Telecommunications Services,Telecommunications,Unknown / Non-Applicable
Software Engineer - Data Science,Datadog,"New York, NY","$120,117 /yr (est.)",4.2,"The Data Science team designs and builds algorithmically driven features in the Datadog app. We work across a range of applications, primarily focusing on analysis on streaming data such as anomaly detection, error outliers and faulty deployment analysis. As a Software Engineer on the Data Science team, you will design, build and scale the backend systems that power our growing suite of Watchdog products. You will be working on large-scale distributed systems, horizontally-scalable datastores and a variety of data-processing frameworks to build our next-generation platform and capabilities for Data Science at Datadog.
At Datadog, we place value in our office culture - the relationships that it builds, the creativity it brings to the table, and the collaboration of being together. We operate as a hybrid workplace to ensure our employees can create a work-life harmony that best fits them.",1001 to 5000 Employees,2010,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
Data Scientist,Altana AI,"Brooklyn, NY","$180,000 /yr (est.)",3.9,"To solve climate change, wealth inequality, supply chain stability, and national security we must change how our global supply chains work. Altana is a Trusted Commerce Platform built on a shared source of truth for the global supply chain. The purpose of Altana is to enable resilient, sustainable, secure, and inclusive global commerce: Globalization 2.0.

We have built a layer of shared intelligence across the world's supply chain information: a living map of trillions of dollars of B2B commercial activity, covering 400M companies connected by billions of shipments. This knowledge graph powers Altana's Trusted Commerce Platform - the Altana Atlas - which, after only three years since founding, is already used by many of the world's most important governments, enterprises, and logistics providers.",51 to 200 Employees,2018,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist,ClosedLoop,"Austin, TX","$92,089 /yr (est.)",4.8,"About ClosedLoop:
ClosedLoop.ai is healthcare's data science platform. Purpose-built and dedicated to healthcare, we make it easy for healthcare organizations (HCOs) to use AI to improve outcomes and reduce costs. Our platform combines an intuitive end-to-end machine learning platform with a comprehensive library of healthcare-specific features and model templates.
We're the leader in delivering unbiased accuracy and explainable AI healthcare solutions. Regardless of whether our customers have extensive data science teams or are just starting out, our products are engineered to help them harness the power of AI to improve patient outcomes, achieve clinical excellence, and enhance business success.",51 to 200 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Science Analytics Deveoper,Capgemini,"New York, NY","$113,281 /yr (est.)",3.8,"Data Science Analytics Developer
FT Base+Bonus+Benefits- New York Based
Job Responsibilities
Data Science Analytics Developer Lead Skills required Experienced professional with 10 12 years of experience developing and implementing statistical models in Big Data ecosystem i e Hadoop Spark HBase Hive Impala or any other similar distributed computing technology Proficiency with Python R and basic libraries for statistical econometric modeling such as scikit learn pandas
Experienced in Hadoop Spark HDFS Python R PySpark and other leading technologies Proficiency with DataIku or similar tools Proficiency in data analysis using complex and optimized SQL and or above mentioned technologies Understanding of data architecture structures data modeling and database design and performance management",10000+ Employees,1967,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
Advanced Data Engineer,Kroger,Remote,"$135,196 /yr (est.)",3.1,"POSITION SUMMARY
Accountable for leading activities that create deliverables to guide the direction, development, and delivery of technological responses to targeted business outcomes. Provide facilitation, analysis and design tasks required for the development of an enterprise's data and information architecture, focusing on data asset for the enterprise. Develop reusable standards, design patterns, guidelines, and configurations to evolve the technical infrastructure related to data and information across the enterprise, including direct collaboration with 84.51. Demonstrate the company’s core values of respect, honesty, integrity, diversity, inclusion and safety.
ESSENTIAL JOB FUNCTIONS:
Participate in the development and communication of data strategy and roadmaps across the technology organization to support project portfolio and business strategy Participate in, and drive, the development and communication of enterprise standards for data domains and data solutions, focusing on simplified integration and streamlined operational and analytical uses Provide technical leadership to ensure clarity between ongoing projects, including direct collaboration with 84.51Drive digital innovation by leveraging innovative new technologies and approaches to renovate, extend, and transform the existing core data assets, including SQL-based, NoSQL-based, and Cloud-based data platforms Define high-level migration plans to address the gaps between the current and future state Present opportunities with cost/benefit analysis to leadership to shape sound architectural decisions Lead the analysis of the technology environment to detect critical deficiencies and recommend solutions for improvement Mentor team members in data principles, patterns, processes and practices Promote the reuse of data assets, including the management of the data catalog for reference Draft and review architectural diagrams, interface specifications and other design documents Must be able to perform the essential job functions of this position with or without reasonable accommodation",10000+ Employees,Company - Public,Grocery Stores,Retail & Wholesale,$10+ billion (USD),
Data Science Analyst - 100% Remote,Radian,Maryland,"$88,274 /yr (est.)",4.2,"See yourself at Radian? We see you here too.
At Radian, we see you. For the person you are and the potential you hold. That’s why we’ve embraced a new way of working that lets our people across the country be themselves, be their best and be their boldest. Because when each of us is truly seen, each of us gives our best – and at Radian, we’ll give you our best right back.
The Data Science Analyst operates as a member of the data science team, working with data scientists, data engineers, ML engineers, architects, and operations, supporting our SaaS artificial intelligence (AI) and machine learning (ML) services. You will be working with data scientists to gain a deep understanding of each of our machine learning models, including real-estate, computer vision, and natural language understanding (NLU) models. You will also work with big data engineers to understand our various data sources and feature stores that feed into our model SaaS decision engines. You will lead the development and maintenance of issue tracking systems and feedback loops to design processes and systems that leverage collected data to improve our machine learning models and services in future. You will also create reports and visualizations such as charts and graphs to help us understand and communicate system and model performance. The Data Science Analyst must be able to effectively communicate with both internal and external stakeholders regarding our various AI / ML SaaS services and assist with training and coordination of Tier 1 and Tier 2 support.",1001 to 5000 Employees,1977,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD)
"2023 CoOp PepsiCo Foods Data Science, Advanced Analytics Co-Op - Graduate",PepsiCo,"Plano, TX","$82,451 /yr (est.)",3.9,"Auto req ID: 283627BR

Nationwide Opportunities- Please Read:
Just because this role looks like it is in Purchase, NY (New York) does not mean it is! At PepsiCo we place Campus Intern hires in roles nationwide across both field and headquarter locations. Field based roles will only be placed in the field.

We are PepsiCo
PepsiCo is a global food and beverage leader operating in more than 200 countries and territories with a product portfolio that includes 22 world-famous, billion-dollar brands. From Gatorade to Quaker, LIFEWTR to Lay’s, we make hundreds of enjoyable foods and beverages that are loved throughout the world.









Not Applicable

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability status.

PepsiCo is an Equal Opportunity Employer: Female / Minority / Disability / Protected Veteran / Sexual Orientation / Gender Identity

Our Company will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the Fair Credit Reporting Act, and all other applicable laws, including but not limited to, San Francisco Police Code Sections 4901 - 4919, commonly referred to as the San Francisco Fair Chance Ordinance; and Chapter XVII, Article 9 of the Los Angeles Municipal Code, commonly referred to as the Fair Chance Initiative for Hiring Ordinance.

If you'd like more information about your EEO rights as an applicant under the law, please download the available EEO is the Law & EEO is the Law Supplement documents. View PepsiCo EEO Policy

Please view our Pay Transparency Statement",10000+ Employees,1965,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD)
Data Science Engineer,Triangulate Labs,"Cincinnati, OH","$82,451 /yr (est.)",,"Triangulate Labs is looking for a Data Science Engineer who will work closely with our technically minded founders to build and validate predictive analytics models using machine learning. You can expect to work on internal research and development as well as specific client engagements.
What we’re looking for:
Strong probability and statistics background
Proficient in predictive analytics
Proficient with Python and/or R and current high-performance machine learning libraries
Degree in Computer Science, Engineering, Mathematics, or similar field– Advanced degree is a plus",,,,,,
Data Scientist,Dataworks,Remote,"$122,500 /yr (est.)",,"Data Scientist
United States - Remote
Competitive Salary plus Benefits and Bonus
TECH STACK: Python / R, SQL, PowerBI / Tableau, AWS / GCP
This is an exciting opportunity to join one of the fastest growing tech companies in the US, they are looking for an experienced Data Scientist whose role will be to provide key insights to business problems and work on predictive and machine learning algorithms through to deployment.
ABOUT THE COMPANY",1 to 50 Employees,2021,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD)
Data Scientist,"3G Federal Solutions, LLC",Remote,"$115,000 /yr (est.)",,"Tasks (illustrative) – Forecasts and models to inform system capacity planning, including controlling for demographic- or health-related limiting factors; analysis of key performance indicators; throughput analyses; policy impact evaluations
Required Skills (Mathematicians) – Bayesian statistics, Probability theory, linear algebra, combinatorics, graph theory, numerical analysis, moving averages
Required Skills (Data Scientists) – Predictive analytics, ARIMA forecasting, timeseries analyses, linear/non-linear optimization, simulation techniques (e.g., Arena, Monte Carlo); anomaly detection, text distance, geospatial analyses, database modeling (relational and non-relational)
Job Type: Full-time
Pay: $100,000.00 - $130,000.00 per year",Unknown,Company - Public,Unknown / Non-Applicable,,,
Data Analyst,Hulu,"Santa Monica, CA","$75,387 /yr (est.)",3.9,"We are seeking a Data Analyst who will focus on analyzing subscriber retention and engagement. Collaborating across marketing, product, data engineering, data science and business teams, this position will design and implement reporting that enables internal clients to access, explore and monitor data, as well as perform analysis and share underlying trends and insights to help teams have a better understanding of the ESPN+ and Disney+ subscribers, audience behavior and engagement drivers.
Responsibilities
Mine data, perform quantitative analysis and create clear and actionable narratives about our audience, their behaviors, and drivers of retention and engagement.
Partner with colleagues facilitating the design, build and automation of reports / dashboards that provide insight into customer conversion and behavior.",1001 to 5000 Employees,2007,Company - Private,Broadcast Media,Media & Communication,$1 to $2 billion (USD)
Data Scientist,Bosch Group,"Anderson, SC","$94,272 /yr (est.)",4.0,"Company Description

At Bosch, we care. For you, our business, and our environment.
Let’s turn visions into reality. At Bosch, we shape the future by inventing high-quality technologies and services that spark enthusiasm and enrich people’s lives. Our areas of activity are every bit as diverse as our outstanding Bosch teams around the world. Their creativity is the key to innovation through connected living, mobility or industry. Our responsibility goes far beyond business. We’re independent of stock markets and bound to the purpose of the Robert Bosch Foundation; our success directly benefits society, the environment, and future generations. Our promise to our associates is rock-solid: we grow together, we enjoy our work, and we inspire each other. Join in and feel the difference.
Work #LikeABosch",10000+ Employees,1886,Company - Private,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD)
Data Science QA Tester III - Remote,Black Knight,Remote,"$102,500 /yr (est.)",3.6,"Position:
Data Science QA Tester III - Remote
Job Description:
Black Knight is the premier provider of integrated technology, services, data and analytics that lenders and servicers look to first to help successfully manage the entire loan life cycle. Our deep understanding of regulatory and compliance issues complements the knowledge, technology and solutions we offer to help our clients achieve their business goals. Black Knight offers leading software systems; data and analytics offerings; and information solutions that facilitate and automate many of the business processes across the mortgage life cycle.
LOCATION: This job is fully remote eligible within the United States.
JOB FAMILY DESCRIPTION
Creates and maintains the quality assurance (QA) processes of Black Knight's Data & Analytics' applications. Also provides consulting for software development or operations processes, quality practices, quality audits and software measurements to product development or operations teams within the division. The Data Science QA Tester III will perform QA tests on data science and predictive modeling software applications.
Remote
Full time",5001 to 10000 Employees,2013,Company - Public,Information Technology Support Services,Information Technology,Less than $1 million (USD)
Data Scientist,Sia Partners,"New York, NY","$117,500 /yr (est.)",4.0,"Company Description

Sia Partners is a next-generation consulting firm focused on delivering superior value and tangible results to its clients as they navigate the digital revolution. Our global footprint and expertise in more than 40 sectors and services allow us to enhance our clients’ businesses worldwide. We guide their projects and initiatives in strategy, business transformation, IT & digital strategy, and Data Science.
WHY JOIN THE SIA VILLAGE?
Excellence | Entrepreneurship | Innovation | Teamwork | Care & Support | Employee Wellbeing
These are the six core values that guide all our actions. As an expression of our values, our Sia Village concept describes our commitment to fostering a sense of community within and among our offices. We believe that knowledge sharing is the key, not only to innovation, but to the growth and development of our people.",1001 to 5000 Employees,1999,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD)
Data Science Consultant,Unify Consulting,"San Francisco, CA","$152,814 /yr (est.)",4.0,"We are a magnet firm for superstar consultants, respectfully disrupting the consulting industries in Seattle and Bay Areas. We deliver data-driven people-powered solutions because our consultants are versatile; blending management wisdom with technical chops. We are growing our meritocracy, free of middlemen, with fun, relationship-oriented optimists who value camaraderie.
We are currently seeking a Data Scientist to join our team in San Francisco. The Data Science team at Unify is growing rapidly! Come join a group of highly ambitious and experienced data scientists with backgrounds from a broad set of industries. We love data scientists who love diving into interesting business problems and interfacing with clients just as much as they love diving into data and algorithms. This is a great opportunity for enterprising candidates to help change the trajectory our clients’ analytics capabilities and to build out Unify’s aspiration to be a regional leader in delivering data science and artificial intelligence solutions.",501 to 1000 Employees,2006,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable
Data Scientist,Trinity Solar Careers,"Wall, NJ","$130,000 /yr (est.)",3.6,"The Data scientist will use data tools to drive deep understanding of company's lead data with the goal of improving our ability to convert more leads into opportunities. They will help solve challenging problems using data science techniques.
Job Category: Entry to senior level positions available.
Work location: Hybrid schedule.
Salary Range: $60,000 - $200,000 commensurate with experience and education.
Roles & Responsibilities
Analyze data to extract valuable insights with goal to improve marketing techniques, and increase sales",1001 to 5000 Employees,1994,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",$100 to $500 million (USD)
